単元名,チェック項目,サブテーマ,リファレンス,チャート例題番号,難易度,応用的,チェック内容,問題文,チェック解答,学んでほしいこと,練習問題,練習問題の解答,AIによる修正後の問題文（数Ⅰ）,,,367,370
このとき、$|x^2 - 2x - 3| = x^2 - 2x - 3$ となるから、不等式は
$x^2 - 2x - 3 \geq 3 - x$
となる。これを整理すると
$x^2 - x - 6 \geq 0$
$(x - 3)(x + 2) \geq 0$
これを解くと、$x \leq -2$ または $x \geq 3$ が得られる。
ここで、$x^2 - 2x - 3 \geq 0$ を満たす$x$の範囲を求めると、$(x-3)(x+1)\geq0$より、$x\leq-1$または$x\geq3$となる。
したがって、$x \leq -2$ または $x \geq 3$ かつ $x\leq-1$または$x\geq3$ を満たす$x$の範囲は、$x \leq -2$ または $x \geq 3$。

(2) $x^2 - 2x - 3 < 0$ のとき

このとき、$|x^2 - 2x - 3| = -(x^2 - 2x - 3)$ となるから、不等式は
$-(x^2 - 2x - 3) \geq 3 - x$
$-x^2 + 2x + 3 \geq 3 - x$
$x^2 - 3x \leq 0$
$x(x - 3) \leq 0$
これを解くと、$0 \leq x \leq 3$ が得られる。
ここで、$x^2 - 2x - 3 < 0$ を満たす$x$の範囲を求めると、$(x-3)(x+1)<0$より、$-1<x<3$となる。
したがって、$0 \leq x \leq 3$ かつ $-1 < x < 3$ を満たす$x$の範囲は、$0 \leq x < 3$。

(1), (2) の結果を合わせると、不等式 $|x^2 - 2x - 3| \geq 3 - x$ の解は、$x \leq -2$ または $x \geq 0$ となる。
","- **絶対値記号は、中身の符号によって場合分けして外す**という基本を必ず理解しよう！今回の問題では、 $$x^2 - 2x - 3 $$ の符号によって場合分けをする必要がある。
- **場合分けをしたときは、それぞれの範囲で求めた解を、元の不等式の解とするために最後に**「**合わせる**」**必要があることを忘れないようにしよう！
- **2次不等式を解く**ためには、**まず2次方程式を解いて**、**グラフの概形をイメージ**することが大切だ。そうすることで、不等式の解がどのような範囲になるか見通しが良くなる。
- **場合分けの条件**（例えば、 $$x^2-2x-3 \geq 0 $$）も**不等式**なので、**解く必要がある**ことを忘れないようにしよう。
- それぞれの場合分けで求めた解と、その場合分けの条件を満たす範囲を求める必要がある。**数直線**を書いて考えると、**共通範囲**を見つけやすくなる。
","次の不等式を解け。

(1) $|x^2 - 4| \leq 3x$

(2) $|x^2 - x - 2| > x + 1$
","(1) $|x^2 - 4| \leq 3x$

**絶対値の中身の符号で場合分け**をするよ。

(i) $x^2 - 4 \geq 0$ のとき

このとき、$|x^2 - 4| = x^2 - 4$ だから、不等式は
$x^2 - 4 \leq 3x$
となる。これを整理すると、
$x^2 - 3x - 4 \leq 0$
$(x - 4)(x + 1) \leq 0$
これを解くと、$-1 \leq x \leq 4$ が得られる。

ここで、$x^2 - 4 \geq 0$ を満たす $x$ の範囲を求めると、 $(x-2)(x+2)\geq0$ より、$x \leq -2$ または $x \geq 2$ となる。

したがって、 $-1 \leq x \leq 4$ かつ $x \leq -2$ または $x \geq 2$ を満たす $x$ の範囲は、$2 \leq x \leq 4$。

(ii) $x^2 - 4 < 0$ のとき

このとき、$|x^2 - 4| = -(x^2 - 4)$ だから、不等式は
$-(x^2 - 4) \leq 3x$
$-x^2 + 4 \leq 3x$
$x^2 + 3x - 4 \geq 0$
$(x + 4)(x - 1) \geq 0$
これを解くと、$x \leq -4$ または $x \geq 1$ が得られる。

ここで、$x^2 - 4 < 0$ を満たす $x$ の範囲を求めると、 $(x-2)(x+2)<0$ より、 $-2 < x < 2$ となる。

したがって、$x \leq -4$ または $x \geq 1$ かつ $-2 < x < 2$ を満たす $x$ の範囲は、$1 \leq x < 2$。

(i), (ii) の結果を合わせると、不等式 $|x^2 - 4| \leq 3x$ の解は、$1 \leq x \leq 4$ となる。

(2) $|x^2 - x - 2| > x + 1$

**絶対値の中身の符号で場合分け**をするよ。

(i) $x^2 - x - 2 \geq 0$ のとき

このとき、$|x^2 - x - 2| = x^2 - x - 2$ だから、不等式は
$x^2 - x - 2 > x + 1$
となる。これを整理すると、
$x^2 - 2x - 3 > 0$
$(x - 3)(x + 1) > 0$
これを解くと、$x < -1$ または $x > 3$ が得られる。

ここで、$x^2 - x - 2 \geq 0$ を満たす $x$ の範囲を求めると、 $(x-2)(x+1)\geq0$ より、$x \leq -1$ または $x \geq 2$ となる。

したがって、$x < -1$ または $x > 3$ かつ $x \leq -1$ または $x \geq 2$ を満たす $x$ の範囲は、$x < -1$ または $x > 3$。

(ii) $x^2 - x - 2 < 0$ のとき

このとき、$|x^2 - x - 2| = -(x^2 - x - 2)$ だから、不等式は
$-(x^2 - x - 2) > x + 1$
$-x^2 + x + 2 > x + 1$
$-x^2 + 1 > 0$
$x^2 - 1 < 0$
$(x - 1)(x + 1) < 0$
これを解くと、 $-1 < x < 1$ が得られる。

ここで、$x^2 - x - 2 < 0$ を満たす $x$ の範囲を求めると、 $(x-2)(x+1)<0$ より、 $-1 < x < 2$ となる。

したがって、 $-1 < x < 1$ かつ $-1 < x < 2$ を満たす $x$ の範囲は、$-1 < x < 1$。

(i), (ii) の結果を合わせると、不等式 $|x^2 - x - 2| > x + 1$ の解は、$x < -1$ または $-1<x<1$ または $x>3$ となり、$x < 1$ または $x > 3$となる。
","基本例題 $$124$$：絶対値を含む $$2$$ 次不等式

不等式 $$|x^2 - 2x - 3| \ge 3 - x$$ を解け。
",,,,
2次関数,方程式 f(x)=g(x) の解はグラフの観点から見ると何に相当する？,2次不等式,109（指針）,,1,,,,"方程式 \( f(x) = g(x) \) の解は、グラフ \( y = f(x) \) とグラフ \( y = g(x) \) の**交点の x 座標**に相当する。
","**方程式の解をグラフの交点という図形的な意味で捉え、代数的な解法と視覚的なイメージを結びつけよう。**
","練習問題：

1.  次の2次関数 \( y = x^2 - 4x + 3 \) のグラフと \( x \) 軸との交点の \( x \) 座標を求めなさい。また、その交点の \( x \) 座標をグラフ上に示しなさい。

2.  次の連立方程式の解をグラフを利用して求めなさい。
    \[
    \begin{cases}
      y = x^2 \\
      y = x + 2
    \end{cases}
    \]
    また、求めた解がグラフ上で何を意味するか説明しなさい。

3.  関数 \( f(x) = x^2 - 2x + 1 \) と \( g(x) = -x + 3 \) について、\( f(x) = g(x) \) を満たす \( x \) の値を求めなさい。さらに、それぞれのグラフを描き、求めた \( x \) の値がグラフのどの部分に対応するか示しなさい。
","1.  
    2次関数 \( y = x^2 - 4x + 3 \) のグラフと \( x \) 軸との交点の \( x \) 座標を求めるには、\( y = 0 \) として方程式 \( x^2 - 4x + 3 = 0 \) を解きます。
    
    因数分解すると、\( (x - 1)(x - 3) = 0 \) となるので、\( x = 1, 3 \) が交点の \( x \) 座標です。
    
    グラフは、下に凸の放物線で、\( x \) 軸と \( x = 1 \) と \( x = 3 \) で交わります。
    
    （グラフは \( x \) 軸上に \( x = 1 \) と \( x = 3 \) の点をマークしてください）
    
2.  
    連立方程式の解は、\( y = x^2 \) のグラフと \( y = x + 2 \) のグラフの交点の座標です。
    
    \( y \) を消去して \( x^2 = x + 2 \) 、つまり \( x^2 - x - 2 = 0 \) となるので、因数分解して \( (x - 2)(x + 1) = 0 \) となり、 \( x = 2, -1 \) です。
    
    \( x = 2 \) のとき \( y = 2 + 2 = 4 \) 、\( x = -1 \) のとき \( y = -1 + 2 = 1 \) なので、交点の座標は \( (2, 4) \) と \( (-1, 1) \) です。
    
    グラフ上では、放物線 \( y = x^2 \) と直線 \( y = x + 2 \) が2点で交わっており、その交点の座標が連立方程式の解を表します。
    
3.  
    \( f(x) = g(x) \) を満たす \( x \) の値を求めるには、\( x^2 - 2x + 1 = -x + 3 \) を解きます。
    
    移項して整理すると、\( x^2 - x - 2 = 0 \) となり、因数分解して \( (x - 2)(x + 1) = 0 \) なので、\( x = 2, -1 \) です。
    
    グラフを描くと、\( y = x^2 - 2x + 1 \) は下に凸の放物線、\( y = -x + 3 \) は右下がりの直線になります。
    
    \( f(x) = g(x) \) を満たす \( x \) の値は、これらのグラフの交点の \( x \) 座標に対応します。
    
    （グラフは \( y=x^2-2x+1 \) と \( y=-x+3 \) のグラフを描いて、交点が \( x=-1 \) と \( x=2 \) になるように図示してください）
",,,,,
2次関数,文字定数kの入った方程式の解の個数を調べられる？（例：|x^2-x-2|=2x+k）,2次不等式,,125,4,,,"\textbf{重要例題 125 絶対値のついた 2 次方程式の解の個数}

$k$ は定数とする。方程式 $|x^2 - x - 2| = 2x + k$ の異なる実数解の個数を調べよ。
","方程式 $|x^2 - x - 2| = 2x + k$ の実数解の個数を調べるには、$y = |x^2 - x - 2|$ のグラフと $y = 2x + k$ のグラフの交点の個数を調べればよい。

まず、$y = |x^2 - x - 2|$ のグラフを描く。$x^2 - x - 2 = (x - 2)(x + 1)$ なので、$x^2 - x - 2 = 0$ となるのは $x = -1, 2$ のとき。したがって、$y = x^2 - x - 2$ のグラフの $x$ 軸より下の部分を $x$ 軸に関して折り返せば、$y = |x^2 - x - 2|$ のグラフが得られる。

次に、$y = 2x + k$ のグラフは傾き 2 の直線である。$k$ の値によって $y$ 切片が変化するので、この直線を上下に動かし、$y = |x^2 - x - 2|$ のグラフとの交点の個数を調べればよい。

$y = x^2 - x - 2$ の頂点の $x$ 座標は $x = \frac{1}{2}$ で、このとき $y = \left(\frac{1}{2}\right)^2 - \frac{1}{2} - 2 = \frac{1}{4} - \frac{1}{2} - 2 = -\frac{9}{4}$。よって、$y = |x^2 - x - 2|$ の頂点は $\left(\frac{1}{2}, \frac{9}{4}\right)$ となる。

$y = 2x + k$ のグラフが $y = |x^2 - x - 2|$ のグラフと接するときの $k$ の値を求める。$x^2 - x - 2 \ge 0$ のとき、$x^2 - x - 2 = 2x + k$ すなわち $x^2 - 3x - (2 + k) = 0$ となる。この判別式 $D = (-3)^2 - 4(1)(-2 - k) = 9 + 8 + 4k = 17 + 4k$ が 0 となるとき接するので、$17 + 4k = 0$ より $k = -\frac{17}{4}$。また、$x^2 - x - 2 < 0$ のとき、$-(x^2 - x - 2) = 2x + k$ すなわち $-x^2 + x + 2 = 2x + k$ となり、$x^2 + x + k - 2 = 0$。この判別式は $D = 1^2 - 4(1)(k-2) = 1 - 4k + 8 = 9 - 4k$。これが 0 のとき接するので、$9 - 4k = 0$ より、$k = \frac{9}{4}$。

また、直線 $y=2x+k$ が点 $(-1,0)$ を通る場合は $0 = 2(-1) + k$ より $k=2$、点 $(2,0)$ を通る場合は $0 = 2(2) + k$ より $k=-4$ である。

以上をまとめると、$k$ の値によって、実数解の個数は次のようになる。

- $k < -\frac{17}{4}$ のとき、0個
- $k = -\frac{17}{4}$ のとき、1個
- $-\frac{17}{4} < k < -4$ のとき、2個
- $k = -4$ のとき、3個
- $-4 < k < 2$ のとき、4個
- $k = 2$ のとき、3個
- $2 < k < \frac{9}{4}$ のとき、2個
- $k = \frac{9}{4}$ のとき、1個
- $k > \frac{9}{4}$ のとき、0個
","- **絶対値記号は場合分けで外す**のが基本！ここでは、 $$x^2 - x - 2 $$ の符号によって場合分けをしているよ。グラフを描くときも、**まずは絶対値がない状態のグラフを描いてから、折り返す**という手順を踏むと分かりやすいね。
- **方程式の解の個数は、グラフの交点の個数に対応する**という考え方は、この先もずっと使う大事な考え方。この問題では、 $$y = |x^2 - x - 2| $$ のグラフと  $$y = 2x + k $$ のグラフの交点を考えることで、解の個数を調べているんだ。
- **文字定数を含む方程式の解の個数を考えるときは、グラフを固定して、もう一方のグラフを動かして考える**と見通しが良くなることが多い。ここでは、 $$y = |x^2 - x - 2| $$ のグラフを固定して、 $$y = 2x + k $$ のグラフを上下に動かして、交点の個数がどう変化するかを調べているね。
- グラフの交点の個数が変化する境目となる**「接する」場合や、「グラフ上の特定の点を通る」場合**をしっかりとおさえることが大切。この問題では、直線  $$y = 2x + k $$ が  $$y = |x^2 - x - 2| $$ のグラフと接する場合や、点  $$(-1, 0), (2, 0) $$ を通る場合を調べているね。
- 解の個数が変わる境目を把握したら、あとは**丁寧に場合分け**をして解の個数を数えるだけ。この問題では、kの値によって解の個数が細かく変化するので、**図を書きながら、丁寧に数える**必要があるよ。
","\begin{enumerate}
    \item $k$ は定数とする。方程式 $|x^2 - 3x| = x + k$ の異なる実数解の個数を調べよ。
    \item $k$ は定数とする。方程式 $|x^2 - 4| = 2x + k$ の異なる実数解の個数を調べよ。
    \item $k$ は定数とする。方程式 $|x^2 + 2x - 3| = -x + k$ の異なる実数解の個数を調べよ。
\end{enumerate}
","練習問題の解答：

1.  $|x^2 - 3x| = x + k$ の異なる実数解の個数を調べる。

    まず、$y = |x^2 - 3x|$ のグラフを描く。$x^2 - 3x = x(x - 3)$ なので、$x^2 - 3x = 0$ となるのは $x = 0, 3$ のとき。
    したがって、$y = x^2 - 3x$ のグラフの $x$ 軸より下の部分を $x$ 軸に関して折り返せば、$y = |x^2 - 3x|$ のグラフが得られる。
    次に、$y = x + k$ のグラフは傾き 1 の直線である。$k$ の値によって $y$ 切片が変化するので、この直線を上下に動かし、$y = |x^2 - 3x|$ のグラフとの交点の個数を調べればよい。
    $y = x^2 - 3x$ の頂点の $x$ 座標は $x = \frac{3}{2}$ で、このとき $y = \left(\frac{3}{2}\right)^2 - 3\left(\frac{3}{2}\right) = \frac{9}{4} - \frac{9}{2} = -\frac{9}{4}$。よって、$y = |x^2 - 3x|$ の頂点は $\left(\frac{3}{2}, \frac{9}{4}\right)$ となる。
    $y = x + k$ のグラフが $y = |x^2 - 3x|$ のグラフと接するときの $k$ の値を求める。
    $x^2 - 3x \ge 0$ のとき、$x^2 - 3x = x + k$ すなわち $x^2 - 4x - k = 0$ となる。この判別式 $D = (-4)^2 - 4(1)(-k) = 16 + 4k$ が 0 となるとき接するので、$16 + 4k = 0$ より $k = -4$。
    また、$x^2 - 3x < 0$ のとき、$-(x^2 - 3x) = x + k$ すなわち $-x^2 + 3x = x + k$ となり、$x^2 - 2x + k = 0$。この判別式は $D = (-2)^2 - 4(1)(k) = 4 - 4k$。これが 0 のとき接するので、$4 - 4k = 0$ より、$k = 1$。
    また、直線 $y=x+k$ が点 $(0,0)$ を通る場合は $0 = 0 + k$ より $k=0$、点 $(3,0)$ を通る場合は $0 = 3 + k$ より $k=-3$ である。

    以上をまとめると、$k$ の値によって、実数解の個数は次のようになる。

    *   $k < -4$ のとき、0個
    *   $k = -4$ のとき、1個
    *   $-4 < k < -3$ のとき、2個
    *   $k = -3$ のとき、3個
    *   $-3 < k < 0$ のとき、4個
    *   $k = 0$ のとき、3個
    *   $0 < k < 1$ のとき、2個
    *   $k = 1$ のとき、1個
    *   $k > 1$ のとき、0個

2.  $|x^2 - 4| = 2x + k$ の異なる実数解の個数を調べる。

    まず、$y = |x^2 - 4|$ のグラフを描く。$x^2 - 4 = (x - 2)(x + 2)$ なので、$x^2 - 4 = 0$ となるのは $x = -2, 2$ のとき。
    したがって、$y = x^2 - 4$ のグラフの $x$ 軸より下の部分を $x$ 軸に関して折り返せば、$y = |x^2 - 4|$ のグラフが得られる。
    次に、$y = 2x + k$ のグラフは傾き 2 の直線である。$k$ の値によって $y$ 切片が変化するので、この直線を上下に動かし、$y = |x^2 - 4|$ のグラフとの交点の個数を調べればよい。
    $y = x^2 - 4$ の頂点の $x$ 座標は $x = 0$ で、このとき $y = -4$。よって、$y = |x^2 - 4|$ の頂点は $(0, 4)$ となる。
